uniqueid,rating,exp,element,expexpct,direxp,expexpect,expabout,strategyq1,strat2,dirstrat,strategyq2,strategyq1_categories,strategyq1_primary_category,strategyq2_categories,strategyq2_primary_category,strategy_overall_category
A29RJVVL54THB5:3U84XHCDICEDR3URZ63G9HSEKF2Z43,Value_Rating,Experience,5,0,0,expected us to work hard proportionate to worth,effort and value,If it seemed like i was making progress slowly I would skip it.,1,1,If it took more effort I thought it was worth more.,Skip / Move On Quickly; Intuition / Gut Feeling; Aesthetic Preference / Liking-Based,Skip / Move On Quickly,Counting / Quantitative Cue; Effort-Based Adjustment (Time/Hardness),Effort-Based Adjustment (Time/Hardness),Skip / Move On Quickly + Effort-Based Adjustment (Time/Hardness)
A2C7PADOTOMFT6:3BF51CHDTVBA1UCWAJA7X7YW7FP0HM,Value_Rating,Experience,5,0,0,I think you expected me to skip all the hard ones and decide that the easier ones were worth less because they were so easy.,How we value hard work.,"If it was obvious it was going to take a long time to get to the work of calligraphy, I would skip it, especially if it was below $300.  I figured I could earn more with the easy ones than I could waiting a long time to get something that I had to work really hard for.  The further down the clock ticked, the more I was likely to skip a higher priced piece if it seemed it would take longer.",1,1,"I mostly used the idea that the faster I got to a piece, the less it was worth - the harder I worked, the more it was worth.",Skip / Move On Quickly; Counting / Quantitative Cue,Skip / Move On Quickly,Speed-Based Selection (Fast/Slow); Counting / Quantitative Cue,Speed-Based Selection (Fast/Slow),Skip / Move On Quickly + Speed-Based Selection (Fast/Slow)
A2HHK2B1GUH9GX:33L7PJKHCGZIOS8U5H4B457217J8TE,Value_Rating,Experience,6,0,0,I'm not sure.,I'm not sure.,"If it seemed like it was going to take a long time to get to the work, I would skip it.",1,1,"If it took a long time to get there, I assumed it was probably more valuable.",Skip / Move On Quickly; Intuition / Gut Feeling; Aesthetic Preference / Liking-Based,Skip / Move On Quickly,Counting / Quantitative Cue,Counting / Quantitative Cue,Skip / Move On Quickly + Counting / Quantitative Cue
A2R8IV2PWFTY00:32SCWG5HIH5XSMWZVLYTFHAE683P6X,Value_Rating,Experience,6,0,0,I have not figured that out yet.,To see if you could figure out what is going on.,Get to the high amounts every time and ignoring the slow low amounts.,1,1,The ones that took a long time to get to were the higher amounts and the fast ones were the low amounts,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow)
A2XH5IWBKCKI88:3BV8HQ2ZZW2Q5IQX62GWPMLJ7NLA6M,Value_Rating,No_Experience,6,0,0,To think about why it took so long or short to get to the caligraphy,interesting,,1,1,If it took longer to the caligraphy I thought that that meant it was more expensive.,No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue,Counting / Quantitative Cue,No Strategy / Not Specified + Counting / Quantitative Cue
A306Y2U0ZW4XOM:3LYA37P8IQO2N7GEEKATUGA7Q0PKBV,Value_Rating,Experience,5,0,0,Value/price,Reward benefit analysis,Skipping if reward not worth time,1,1,Keypresses to reach calligraphy,Skip / Move On Quickly,Skip / Move On Quickly,Other,Other,Skip / Move On Quickly + Other
A39C1BN9ZSQ0R2:33LK57MYLT6WTOW2P7ZY7K8KYXDSZF,Value_Rating,Experience,6,0,0,Expected people to go for the higher priced pieces no matter the speed they went.,Not sure.,I decided whether or not to go for the piece depending on how fast I moved compared to the price of the calligraphy.,1,1,Not really. I figured the faster I moved the less the piece was worth.,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow); Counting / Quantitative Cue,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow)
A3LLNIFU6MQD6K:3ND9UOO81K35VGW7UBIQWU07P0SLWT,Liking_Rating,Experience,5,0,0,To figure out if the pace of the character effected how much someone liked a particular work,I thought this experiment was interesting and fun,"I was thinking about the speed of the character and the amount of points.  If either was too low, I would skip the room",1,1,My value was based on how fast the character got to the work.,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow); Counting / Quantitative Cue,Skip / Move On Quickly,Speed-Based Selection (Fast/Slow); Pattern Or Rule-Based,Speed-Based Selection (Fast/Slow),Skip / Move On Quickly + Speed-Based Selection (Fast/Slow)
A3SFWUQMQPTSGJ:3XXU1SWE8MWVR74I4D0FGLBSUKKA06,Value_Rating,No_Experience,6,0,0,more time equals more value,will people adjust the value up or down even if the first valuation was lower,,1,1,based on amount of effort (or time) started adjusting the estimated value to increase for more time spent,No Strategy / Not Specified,No Strategy / Not Specified,Pattern Or Rule-Based; Counting / Quantitative Cue; Trial-And-Error / Learning By Feedback; Effort-Based Adjustment (Time/Hardness),Effort-Based Adjustment (Time/Hardness),No Strategy / Not Specified + Effort-Based Adjustment (Time/Hardness)
A5ERQ96L55H6V:3VAR3R6G1P22B03M90ICAV1F2Y08OO,Liking_Rating,Experience,4,0,0,"I'm not sure, to be honest.",Determining how fast someone can get to the other side of the screen.,I used both of my index fingers.,1,1,I just voted for the ones I liked.,Other,Other,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,Other + Aesthetic Preference / Liking-Based
ANL8V8NMQIDQG:3TGOYF991XNVM2UW8PVQ5TBTHCUUUJ,Value_Rating,Experience,6,0,0,"something about value...pavlov, schrodingers cat..who knows",Who knows what you wacky scientists are up too,hit the button fast if im moving slow and the $ is low skip it,1,1,faster to get there = less $,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Speed-Based Selection (Fast/Slow); Counting / Quantitative Cue,Speed-Based Selection (Fast/Slow),Skip / Move On Quickly + Speed-Based Selection (Fast/Slow)
ASTDBTVY3WP1K:3D8YOU6S9ELAKR4VC7XNPNXDEPS6U7,Liking_Rating,No_Experience,5,0,0,unsure,Judging if opinion was influenced by how long it took to progress.,,1,1,I seemed to like them better if I got to them faster.,No Strategy / Not Specified,No Strategy / Not Specified,Speed-Based Selection (Fast/Slow); Aesthetic Preference / Liking-Based,Speed-Based Selection (Fast/Slow),No Strategy / Not Specified + Speed-Based Selection (Fast/Slow)
AY3JWZ1R4XVJD:3QEMNNSB2X077P7E9MCQL1TLN0I7DY,Value_Rating,Experience,6,0,0,I think you expected me to skip lower value works of calligraphy to optimize my overall earnings. I think I probably performed exactly as you would expect. :),Really unsure. :),By gauging how fast the little man moved and how much the value of the calligraphy was. This determined whether or not it appeared to be worth trying to get or skipping.,1,1,"I tried to recall whether or not it seemed like there was a correlation between how fast or slow the man moved and the value of the calligraphy. The slower he moved, the higher the value I attributed.",Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Speed-Based Selection (Fast/Slow); Memory / Mnemonic / Recall; Intuition / Gut Feeling; Aesthetic Preference / Liking-Based,Speed-Based Selection (Fast/Slow),Skip / Move On Quickly + Speed-Based Selection (Fast/Slow)
A1CX684F5TEO5W:39N5ACM9HEOKA5YXTS15ZR1GWAEP9D,Value_Rating,Experience,6,0,0,"That is a strangely worded question. But you are the experts! You wanted to see when we would use the skip button. Risk versus reward type thing, I'm guessing??",decision making,Skip the page if the alien was moving too slowly and the prize was only 1 or 2 hundred dollars.,1,1,"the slower the alien moved, the higher the value.",Skip / Move On Quickly,Skip / Move On Quickly,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),Skip / Move On Quickly + Speed-Based Selection (Fast/Slow)
A1FEW7GKCDBE2M:3AWETUDC92T7ZAT6KV5K3I2XPY2ZIJ,Value_Rating,No_Experience,5,0,0,Make a guess of worth,I have no idea,,1,1,yes the move time it took to reach the calligraphy the more I felt it was worth,No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue,Counting / Quantitative Cue,No Strategy / Not Specified + Counting / Quantitative Cue
A11TREGDHSUSJW:3GNA64GUZE5M9UX0QF3DNGMOFAWQ5T,Liking_Rating,No_Experience,4,1,-1,If it was hard to get to then I would rate it lower and if it was easy to get to then I would rate it higher.,To see if people based their opinion of the calligraphy off how hard it was to get to the calligraphy.,,0,0,I just rated them based on how much I liked them.,No Strategy / Not Specified,No Strategy / Not Specified,Pattern Or Rule-Based; Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A12EQIULBHM4HJ:34X6J5FLPTZUGTCLFH77OQ5TXBQJQ7,Liking_Rating,No_Experience,3,1,-1,You expected worse scores based on how many times you had to click the arrow.,If people rated things differently depending on how hard they had to get to the character.,,0,0,I know some Japanese so I rated the ones I know on how much I liked their meaning.,No Strategy / Not Specified,No Strategy / Not Specified,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A1C57DJF1HCR3Q:3ZR9AIQJUBAGPIO1VCQO3IPS28K04D,Liking_Rating,Experience,7,1,-1,i think you thought we would respond with liking less the longer it took,not sure,I skipped works that the guy was moving very slowly toward,0,0,"no, just told how much I liked it and if it took longer I liked it a bit less",Skip / Move On Quickly,Skip / Move On Quickly,Counting / Quantitative Cue; Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,Skip / Move On Quickly + Aesthetic Preference / Liking-Based
A1ICXLX9EC5KMV:3OVR4I9USPK4DBT0CAK3IOGAFE14Q2,Liking_Rating,No_Experience,4,1,-1,Easier to get to give a higher rating?,No idea.,,0,0,None.,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified
A1OQ3KL56KMQSU:3SNLUL3WO4OS3C72ZB3PE6FA4LYULM,Liking_Rating,Experience,9,1,-1,rate slower one slower,not sure,skip slow ones,0,0,no,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,No Strategy / Not Specified,No Strategy / Not Specified,Skip / Move On Quickly + No Strategy / Not Specified
A1SWC022YJXQTM:3EG49X351UD21VYQHC8A9UWH88X6XP,Liking_Rating,Experience,4,1,-1,I imagine the more clicking = the less someone likes the calligraphy.,No idea.,I would skip rooms that appeared to not give me a high enough reward for the amount of time it'd take to reach the end.,0,0,No.,Skip / Move On Quickly; Counting / Quantitative Cue,Skip / Move On Quickly,No Strategy / Not Specified,No Strategy / Not Specified,Skip / Move On Quickly + No Strategy / Not Specified
A1U8RH67FLZW87:3X31TUMD7XNCUFG4XNT534ADTMDL1M,Liking_Rating,No_Experience,4,1,-1,"The harder we had to push the buttons, the lower we'd rate it.",If how hard it is to get to the caligraphy affects how you rate it?,,0,0,"No strategy, just went with what I liked",No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified; Aesthetic Preference / Liking-Based,No Strategy / Not Specified,No Strategy / Not Specified
A1VMLIEXDEIX9Q:3SNVL38CI4TLXC8KSK6O50GP8LQCKV,Liking_Rating,No_Experience,6,1,-1,That the ones that took longer to get to were rated lower.,"I'm not sure, maybe how having to press right more affected how much someone liked the calligraphy.",,0,0,"No, I just did what felt right to me.",No Strategy / Not Specified,No Strategy / Not Specified,Visual / Spatial Cue,Visual / Spatial Cue,No Strategy / Not Specified + Visual / Spatial Cue
A1XJ1G0EJSHXZW:3WMINLGALB4FLZZYGTTZBMDT39WACE,Value_Rating,No_Experience,9,1,-1,higher if it took less time,no idea,,0,0,guess by detail,No Strategy / Not Specified,No Strategy / Not Specified,Random Guessing,Random Guessing,No Strategy / Not Specified + Random Guessing
A224B7BAQ0MZSN:3IXEICO792KVKEP6C27DKRBBVAMT62,Liking_Rating,Experience,4,1,-1,I think you expected me to like ones that took less effort to get more.,I think it was about how people react when doing something for money versus for personal liking.,My strategy was to only go for the calligraphy in rooms where I could move quickly.,0,0,"I rated it based on my personal liking, as I was told to.",Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),Pattern Or Rule-Based; Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,Speed-Based Selection (Fast/Slow) + Aesthetic Preference / Liking-Based
A24Z9RP5YZZ2TY:3EJPLAJKEMHR6QY5IUWV6FCSG8RZ6B,Value_Rating,Experience,6,1,-1,Expected most people to say that getting the works of calligraphy that took very long was not worth it.,Gaining insight on how people gauge specific cost vs reward.,Skip the ones that took too long to get regardless of their value. It was sometimes possible to collect 3 of varying values vs just one of high value making the effort not worth it.,0,0,Honestly I did not have a strategy.,Skip / Move On Quickly; Effort-Based Adjustment (Time/Hardness),Skip / Move On Quickly,Other,Other,Skip / Move On Quickly + Other
A2PVJLKMONDIVT:3TEM0PF1Q5YTPE7UONRH6MJYFLCD02,Value_Rating,No_Experience,4,1,-1,The easier it was to get to the calligraphy the higher the value,Value based on the effort required,,0,0,I based the value on how visually appealing I found the calligraphy.,No Strategy / Not Specified,No Strategy / Not Specified,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A2V28W4THGYYTQ:3VSOLARPKBAD3GTAVU4YMOYFRDG93D,Liking_Rating,No_Experience,4,1,-1,Lower rating expected for longer time required to reach the calligraphy.,Perceptions,,0,0,No strategy,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified
A3R9G1VQSPN5BZ:3WMOAN2SRBYI4RZNGET9NKLINLRVNU,Liking_Rating,Experience,7,1,-1,I expect that when we got to a piece of calligraphy faster then we were supposed have more positive feelings about that piece of calligraphy.,"If I had to guess, it would be determining our evaluations of the calligraphy based on how quickly/long it took to get there. Whether our patience/lack thereof affected our evaluations.","I attempted to get the calligraphy primarily when my chracter was moving quickly. If he was moving slowly, I would only continue if the reward was $400 or higher.",0,0,I did not particularly have a plan. My evaluations were primarily made based upon my feelings of the aesthetic value of the calligraphy.,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,Speed-Based Selection (Fast/Slow) + Aesthetic Preference / Liking-Based
AQL960O0LTRI8:34BBWHLWHAC35FO198LD4E8F8WYWIQ,Value_Rating,No_Experience,9,1,-1,Perhaps give a higher value to the ones that were easier to reach.,I have no idea.,,0,0,No I did not.,No Strategy / Not Specified,No Strategy / Not Specified,Other,Other,No Strategy / Not Specified + Other
A11THU6UGG3THR:3FIJLY1B6U5TBFPAWE1X9NNRZ8NPFJ,Liking_Rating,No_Experience,4,1,0,"Maybe I was expected to rate ones that were harder to get to more highly? I think I may have done the opposite, because I was happy they were easy to get to and that made me like them better.",Whether the difficulty of getting something influences how people rate it.,,0,0,"No plan, I just rated them according to how appealing I found them.",No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified; Aesthetic Preference / Liking-Based,No Strategy / Not Specified,No Strategy / Not Specified
A134MJZL7H493A:39KFRKBFINWHQ6U4M4G698PHVEDOYU,Liking_Rating,Experience,4,0,0,expected us to skip slow ones for faster ones?,effort versus reward?,"Using two keyboards to maximize button pushing, and skipping rooms that were worth $100 and too slow.",0,0,Not at all.,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Other,Other,Skip / Move On Quickly + Other
A17TS8M18R9TZS:3QECW5O0KH2Z1APS7JX8SLXBZHKT5Z,Value_Rating,Experience,4,1,0,Our interpreted value based on the effort to get them.,How we interpret calligraphy prices.,After a few rounds I started skipping the lower paying scenes.,0,0,I did not.,Skip / Move On Quickly; Counting / Quantitative Cue,Skip / Move On Quickly,Other,Other,Skip / Move On Quickly + Other
A1Y0Y6U906ABT5:3T3IWE1XG6OOUW8QRBLBQWS2VCXQTX,Value_Rating,Experience,9,0,0,Give an accurate value on the calligraphy.,Noticing value and effort.,Going for each artwork as long as it was not going to take an extreme amount of button clicks to get there.,0,0,I looked at the strokes or in my mind difficulty to determine value of work.,Counting / Quantitative Cue,Counting / Quantitative Cue,Other,Other,Counting / Quantitative Cue + Other
A2M3KQ9CKP7YW:3QBD8R3Z21K1SZGKXXSZTJLA0D24OD,Liking_Rating,No_Experience,4,1,0,Maybe you thought the less amount of clicks to reach the work may influence us on the value we would give each one.,Paitence.,,0,0,Just personal preference. Overall look of it.,No Strategy / Not Specified,No Strategy / Not Specified,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A2S6QOCFC3EAYH:3CCZ6YKWR7KGHVGE9DSR1LWZ58859Y,Value_Rating,No_Experience,9,0,0,choose a value for a work of calligraphy,i have no idea,,0,0,"i had no real strategy.if i liked a  work,i valued it more highly than one i didn't like",No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue; Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A37HUPFXQZLO2D:3FQ5JJ512LP4OG5BHAF2LBA17P4NKO,Liking_Rating,No_Experience,8,1,0,base it on inconvenience,whether the work would change how much i like the calligraphy,,0,0,no just based on feelings,No Strategy / Not Specified,No Strategy / Not Specified,Pattern Or Rule-Based,Pattern Or Rule-Based,No Strategy / Not Specified + Pattern Or Rule-Based
A3P24XKLKUBAOG:30MVJZJNHMEOOUVZYFWL2VF4NA2J9Z,Liking_Rating,No_Experience,4,1,0,I felt like I was expected to change the value I placed on each design by how difficult it was to reach it.,I feel like it was designed to judge if a person associates the value of the design by how many times they had to press the arrow key.,,0,0,I estimated the value by the curve of the lines and the over all appeal of the design.,No Strategy / Not Specified,No Strategy / Not Specified,Visual / Spatial Cue; Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A45OK2DDF2SLE:3KAKFY4PGU36EHMDZOABZHXIA4OI3S,Liking_Rating,No_Experience,7,0,0,See how long it took for the man to get across the screen and if we judged the calligraphy poorly or not.,Peoples judgment on something for the amount of energy they have to put into each task,,0,0,I just looked at each piece of calligraphy and tried to see and judge what i thought was the best looking one,No Strategy / Not Specified,No Strategy / Not Specified,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A9KUILSN9FEKP:37TD41K0AHAJLVLSXTFQWM7ZPF2SCR,Liking_Rating,No_Experience,8,1,0,You expected us to value things either higher or lower based on how hard it was to get to them in the room.,To see if value calligraphy more or less when it is harder to get to.,,0,0,I estimated that the most valuable works were those that were simple and clean in their design.,No Strategy / Not Specified,No Strategy / Not Specified,Other,Other,No Strategy / Not Specified + Other
ABNNX9AKIRYJ7:3MRNMEIQW576MAWGDGD046BMIJNLDJ,Liking_Rating,Experience,4,1,0,That harder things are worth more.,If we think something is worth more if it is harder to get.,"Once i got used to the different speeds, I skipped everything that was slow.",0,0,I had none.,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow); Pattern Or Rule-Based,Skip / Move On Quickly,No Strategy / Not Specified,No Strategy / Not Specified,Skip / Move On Quickly + No Strategy / Not Specified
AUOT6UI205EDN:3WRFBPLXRAPYSIX4W4N34PTZW3HN3C,Value_Rating,No_Experience,6,1,0,You thought we would base the value off how hard each piece was to get to.,To see if people perceive difficulty as having a greater reward.,,0,0,The harder they were to get to the more valuable they were.,No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue,Counting / Quantitative Cue,No Strategy / Not Specified + Counting / Quantitative Cue
AV25WZHTJADB8:32UTUBMZ7GXG3IAQDOO0WPLO6Y1BVD,Value_Rating,Experience,9,1,0,Our value estimations would depend on the diffiulty of collecting the caligraphy,I don't know,"I did all of them unless it was a really hard one with a low value, then I skipped it",0,0,no strategy,Skip / Move On Quickly,Skip / Move On Quickly,No Strategy / Not Specified,No Strategy / Not Specified,Skip / Move On Quickly + No Strategy / Not Specified
A2GB0RI43KU4Z:3S4AW7T80BJTMEDNK5C712HG57WL4A,Value_Rating,Experience,9,1,1,"Skip the ones worth less (first question), place higher value on the ones that were harder to get (second).",Deciding worth based on effort or something like that.,"I just kept hitting right as fast as I could, not paying a whole lot of attention to the work or the earning, unless it was a very slowly progressing one.",0,0,I loosely based it on brush strokes.,Speed-Based Selection (Fast/Slow); Visual / Spatial Cue,Speed-Based Selection (Fast/Slow),Other,Other,Speed-Based Selection (Fast/Slow) + Other
A2MCRVU8I9VNHG:3K4J6M3CXEUS2BF3IFPI1DY811OAGO,Liking_Rating,No_Experience,4,1,1,Having to work harder would make people like a work of calligraphy more.,Whether working for something makes people value it more.,,0,0,"I judged them by how much I personally found them beautiful, aesthetic, etc.",No Strategy / Not Specified,No Strategy / Not Specified,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A2UZSMSILYZG0S:336YQZE83VFVOFZ8YMWW672J59M5M8,Liking_Rating,Experience,8,1,1,Maybe that you would like the ones you had to work harder to reach.,How much time and effort you're willing to invest in a task for a reward.,"Skipping the ones where I moved slowly, and doing the ones that were faster.",0,0,I did not have a strategy.,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Other,Other,Skip / Move On Quickly + Other
A10RJO82ZEOIFS:3L2IS5HSFAJIRCANBOJ4RYJZ9EJNUY,Liking_Rating,No_Experience,4,1,1,I think you expected me to rate the calligraphy that was harder to obtain as more valuable.,If people perceive items more or less valuable depending on their difficulty obtaining them.,,0,0,I just went with my gusts on what was aesthetically pleasing.,No Strategy / Not Specified,No Strategy / Not Specified,Other,Other,No Strategy / Not Specified + Other
A1ZF2GZ2ZRV8OY:3S4AW7T80BJTMEDNK5C712HG57VL49,Value_Rating,Experience,8,1,1,"I think maybe you expected the the longer it took to get to a work, the higher I would value it.",I'm not sure.,"If my character moved too slowly, I usually skipped to save time.",0,0,"No. Based on the first part of the experiment, the speed of my character was unrelated to the value of the painting, so I just guessed.",Skip / Move On Quickly,Skip / Move On Quickly,Random Guessing; Speed-Based Selection (Fast/Slow); Pattern Or Rule-Based,Random Guessing,Skip / Move On Quickly + Random Guessing
A36CZ0F88ELFWF:33CKWXB73JLZ48C04DBMJP1ZVGG114,Liking_Rating,No_Experience,4,1,1,Expectations were likely higher on more difficult to reach pieces,Whether or not the effort put into reaching a piece increased its value to you.,,0,0,Based purely on appearance,No Strategy / Not Specified,No Strategy / Not Specified,Other,Other,No Strategy / Not Specified + Other
A37N4JY3863YH0:3X0H8UUIT1PSZTRXEKFR8GE2HVLSW1,Value_Rating,Experience,6,1,1,"To see if we thought that the alower or longer it took to get to it, the more valuable we thought it was",idk,Just get everyone without skipping,0,0,"None, just guessed",Skip / Move On Quickly,Skip / Move On Quickly,No Strategy / Not Specified; Random Guessing,No Strategy / Not Specified,Skip / Move On Quickly + No Strategy / Not Specified
A3RBQZUF9MUTHE:3TEM0PF1Q5YTPE7UONRH6MJYFNJD0D,Value_Rating,No_Experience,5,1,1,"after the experiment was completed, i think you were trying to get the participants to base dollar amount on how long it took the character to get to the painting, faster, less money, longer more money.",patience.,,0,0,"no, i just picked values at random, usually the closest to my previous mouse location,",No Strategy / Not Specified,No Strategy / Not Specified,Random Guessing,Random Guessing,No Strategy / Not Specified + Random Guessing
A3TCFIPOBRZZB3:3Z9WI9EOZZPCEKJ0ECKPGRD5LDZHKD,Liking_Rating,Experience,4,1,1,"I don't know, maybe expect me to value more the calligraphy that I had to work the hardest to get to?",I have no idea!,Seeing how fast I could run compared to the dollar amount. Skipping when running was slow and the amount was relatively low.,0,0,"No strategy, just used my artistic impression.",Skip / Move On Quickly; Speed-Based Selection (Fast/Slow); Counting / Quantitative Cue,Skip / Move On Quickly,No Strategy / Not Specified,No Strategy / Not Specified,Skip / Move On Quickly + No Strategy / Not Specified
AG98WYE8SY5K6:3AAJC4I4FGT3ULDC2DQKFJHX2EBZJH,Liking_Rating,No_Experience,4,1,1,"I think the harder it was to reach the calligraphy, the more you expected me to value the calligraphy higher.",how effort is correlated to how much we value something,,0,0,There was no strategy. If it looked nice it was more valuable.,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified; Counting / Quantitative Cue; Aesthetic Preference / Liking-Based,No Strategy / Not Specified,No Strategy / Not Specified
AQC0SZA1E9QO7:39ASUFLU6X86EAR5NUR8LIOUP5XEXS,Liking_Rating,No_Experience,4,1,1,"If I had to guess, I'd say maybe you thought you'd see a statistical correlation between effort and evaluation of the reward: that is, the harder it was to get a given calligraphy, the more players on average would like it.","I don't know. I did notice the movements took longer or shorter on different levels, so maybe you expected the effort required to have some impact on my evaluation of the calligraphy.",,0,0,"I based it on how much I liked the aesthetic. Generally, though, I rated ones with almost no curved lines lower, as they tend to look boring and static, while curved/angled lines give a sense of fluidity and motion.",No Strategy / Not Specified,No Strategy / Not Specified,Visual / Spatial Cue; Aesthetic Preference / Liking-Based; Fatigue / Discomfort Adjustment,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
AV1PDEOP9TQKO:3SITXWYCNVA877FLD3PIKAI9M94XBX,Value_Rating,No_Experience,4,1,1,"the longer it took for me to reach the art, the more expensive I would value it.",about value,,0,0,I did not.,No Strategy / Not Specified,No Strategy / Not Specified,Other,Other,No Strategy / Not Specified + Other
A10LQ8RUWDUI5U:3TGOYF991XNVM2UW8PVQ5TBTHA7UUS,Value_Rating,Experience,5,0,0,keep going,to figure out how I would decide to skip or not,"well just keep going, I couldn't figure out how to skip",0,0,nope,Skip / Move On Quickly,Skip / Move On Quickly,Other,Other,Skip / Move On Quickly + Other
A115A6OQBJFVVS:3VELCLL3GKKQUN68BCQ78R5TWSJ1FT,Value_Rating,No_Experience,8,0,0,I'm unsure how to answer this question.,I think it was very different from any other I have done.,,0,0,The more lines the more money.,No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue; Visual / Spatial Cue,Counting / Quantitative Cue,No Strategy / Not Specified + Counting / Quantitative Cue
A14HW8I4RYHNC4:3BC8WZX3V3XBQIAY015GV71P3D5RRP,Liking_Rating,Experience,4,0,0,I was thinking there was a maze of rooms.,If time plays a roll in value.,"I started to see that if the pay was too low and the avatar was going to take a long time to get to the room, I would skip it.",0,0,If I liked it or not.,Skip / Move On Quickly,Skip / Move On Quickly,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,Skip / Move On Quickly + Aesthetic Preference / Liking-Based
A14MOF84FC52MB:3ZY8KE4ISJ437OCFW6LQREGNSXCVQH,Value_Rating,No_Experience,9,0,0,pick higher prices for them,,,0,0,just based on how well constructed it was,No Strategy / Not Specified,No Strategy / Not Specified,Pattern Or Rule-Based,Pattern Or Rule-Based,No Strategy / Not Specified + Pattern Or Rule-Based
A16184N1RO5OJV:3OHYZ19UGC6GUOW16Y2Q6M7ASNLAOH,Liking_Rating,Experience,4,0,0,"I think we are expected to make a decision that fits our behavior. And for the second task, we are expected to value the calligraphy based on our feeling toward the art. The first task mainly about our effort and the second task is about our feelings.",How people make decision. Either it was based on the goal or their feeling.,"I see how much do I get and how long do I need to get the calligraphy. If it takes too long and the amount is low, then it is not worth it. Buy I usually try to get the 500 dollars calligraphy because it is the highest amount.",0,0,I just think about how much I like the calligraphy and nothing else.,Pattern Or Rule-Based; Counting / Quantitative Cue,Pattern Or Rule-Based,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,Pattern Or Rule-Based + Aesthetic Preference / Liking-Based
A18G2CLYSTENK:36DSNE9QZ5ZRVHZ504F3ZLATI9OJOD,Liking_Rating,No_Experience,10,0,0,how much i liked them,i think it was to see which ones were most preferred,,0,0,no,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified,No Strategy / Not Specified
